cluster_id,system,entity_f1,relation_f1,pair_f1,exact_triple_f1,model_id,model_commit
test_00006,run82_text,0.3333333333333333,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00006,leadw_text,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00006,primera_text,0.3333333333333333,0.6666666666666666,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00008,run82_text,1.0,1.0,1.0,1.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00008,leadw_text,1.0,1.0,1.0,1.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00013,run82_text,1.0,1.0,1.0,1.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00013,leadw_text,1.0,1.0,1.0,1.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00017,run82_text,0.75,1.0,0.6666666666666666,0.6666666666666666,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00017,leadw_text,0.75,1.0,0.6666666666666666,0.6666666666666666,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00026,run82_text,0.0,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00026,leadw_text,0.6666666666666666,0.6666666666666666,0.5,0.5,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00032,run82_text,0.5,1.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00032,leadw_text,1.0,1.0,1.0,1.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00033,run82_text,0.0,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00033,leadw_text,0.4,1.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00040,run82_text,0.0,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00040,leadw_text,1.0,1.0,1.0,1.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00041,run82_text,0.3333333333333333,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00041,leadw_text,0.6666666666666666,0.5,0.5,0.5,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00053,run82_text,0.0,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00053,leadw_text,0.0,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00060,run82_text,0.8,0.6666666666666666,0.4,0.4,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00060,leadw_text,0.0,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00061,run82_text,0.5,1.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00061,leadw_text,0.5,0.0,0.0,0.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00067,run82_text,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
test_00067,leadw_text,1.0,1.0,1.0,1.0,Babelscape/rebel-large,44eb6cb4585df284ce6c4d6a7013f83fe473c052
